user_id,movie_id,rating,timestamp
1,206,3.0,2021-07-17
1,225,3.5,2020-05-04
1,120,3.0,2023-02-14
1,277,3.5,2023-04-26
1,112,3.5,2020-12-24
1,29,4.5,2023-07-06
1,72,4.5,2023-10-22
1,258,3.0,2022-05-24
1,149,3.0,2023-02-12
1,295,3.0,2022-10-12
1,164,3.0,2020-04-06
1,296,2.5,2021-12-06
1,165,2.5,2023-08-10
1,122,1.5,2023-10-06
1,155,2.5,2022-02-19
1,74,3.0,2022-12-10
1,267,3.0,2021-10-14
1,114,3.5,2023-11-27
1,212,3.0,2022-05-02
1,154,2.0,2022-04-16
2,276,3.5,2021-03-09
2,243,2.5,2021-01-24
2,124,3.5,2020-08-28
2,116,1.5,2022-09-07
2,154,2.5,2021-05-11
2,74,2.5,2023-11-25
2,238,2.0,2023-05-22
2,30,3.0,2023-12-12
2,288,2.0,2021-02-22
2,212,2.5,2022-03-23
2,214,3.0,2021-05-05
2,286,4.5,2023-02-04
2,272,2.5,2021-10-20
2,69,2.0,2021-08-02
2,199,4.0,2022-02-18
2,125,2.0,2022-08-12
2,131,2.5,2022-12-28
2,105,1.5,2023-08-21
2,170,2.0,2022-01-05
2,41,3.5,2021-09-23
2,231,4.0,2021-06-19
2,190,3.5,2022-01-06
2,48,3.5,2022-11-16
2,275,3.5,2022-10-15
2,98,2.5,2022-08-12
2,27,3.0,2020-07-20
2,138,3.0,2024-01-19
2,194,3.0,2022-08-19
2,21,3.0,2021-10-17
2,38,1.5,2021-02-20
2,97,3.0,2022-01-29
2,287,2.5,2021-10-02
2,112,2.0,2022-04-27
2,246,3.0,2020-04-03
2,107,4.0,2023-02-26
2,171,3.0,2021-03-29
2,156,3.0,2020-10-25
2,8,2.5,2020-02-03
3,152,3.0,2023-08-31
3,79,3.0,2023-08-23
3,101,3.0,2020-03-05
3,169,3.5,2020-07-10
3,118,2.0,2022-04-10
3,195,2.0,2022-02-15
3,292,3.0,2022-02-11
3,126,4.5,2023-02-05
3,256,2.5,2022-09-01
3,282,3.0,2020-04-24
3,173,3.0,2023-07-28
3,132,3.0,2020-01-20
3,251,3.0,2023-12-10
3,252,3.5,2020-12-16
3,236,2.5,2020-06-18
3,87,3.5,2022-10-20
3,181,1.0,2022-06-07
3,72,3.0,2023-08-13
3,280,2.5,2021-11-09
3,95,2.5,2023-03-04
3,278,3.5,2020-07-14
3,31,1.5,2022-12-17
3,269,3.5,2020-03-28
3,18,3.0,2021-04-15
3,39,4.5,2021-03-08
3,25,2.5,2023-11-18
3,4,3.0,2023-03-06
3,212,2.5,2022-08-31
3,71,3.0,2021-07-09
3,119,3.5,2020-04-05
3,35,2.5,2020-06-01
3,78,3.0,2023-11-02
3,5,2.5,2021-07-28
3,112,3.0,2023-01-17
3,259,3.0,2023-02-28
3,234,3.5,2023-09-09
3,192,2.5,2020-03-08
3,248,1.5,2021-01-02
3,250,3.0,2021-10-06
3,9,3.5,2020-02-02
3,273,2.5,2021-02-28
3,283,4.5,2023-04-17
3,211,2.0,2020-10-22
3,7,2.5,2023-12-30
3,272,3.5,2022-03-26
3,141,2.0,2020-06-06
3,275,2.5,2021-09-04
3,147,3.0,2020-11-28
3,258,3.5,2023-02-28
3,221,3.5,2021-05-07
3,92,3.0,2023-03-06
3,55,3.5,2022-03-07
3,50,1.5,2023-10-18
3,77,3.5,2023-01-12
3,124,2.5,2021-11-10
3,99,4.0,2022-02-25
3,270,2.5,2020-10-13
3,130,3.0,2023-11-12
3,182,2.5,2024-01-23
3,137,3.0,2020-06-09
3,204,3.5,2022-10-22
3,41,3.0,2021-12-09
3,208,4.0,2020-04-19
3,290,3.0,2020-07-19
3,125,3.5,2022-06-14
3,116,2.5,2021-04-20
3,154,4.0,2020-06-04
3,42,4.0,2021-11-28
4,16,3.0,2020-05-09
4,140,2.5,2020-12-08
4,231,2.5,2022-06-09
4,252,3.0,2021-07-19
4,117,1.5,2022-05-12
4,183,2.5,2021-09-05
4,284,2.0,2022-09-18
4,193,4.0,2020-06-06
4,222,3.0,2022-01-09
4,96,3.5,2021-05-30
4,300,2.0,2021-05-20
4,195,2.5,2024-01-16
4,44,4.0,2023-07-04
